title,txt,rating,revdate
Super quiet with great features,"I was confused initially by the controls and couldn't find instructions to help.  I did figure-out what I needed to know and have had no problems, since.  One feather we like very much is that it is super quiet.  Space utilization is very good.  We especially like the top rack used mainly for silverware.  Very convenient.  The wash is thorough and dishes are dry enough even though there is no heating element in the wash compartment.  We typically use it in the evening and dishes have all night to dry.  The red light on the floor as helpful.  When it's a steady red, we know it's still working, and when it's blinking, we know it's finished.  Lots of different control options.  We don't use most of them, but the ones we want are there.  Good quality washer.  And, the service and warranty features are excellent.  We would buy it again.",80,"July 24, 2020"
Flawless installation and operation,We love this dishwasher! We have done a kitchen remodel and changed 5 appliances. This was the only one that went in without something going wrong. Installation was very professional and quick. The installers even corrected a previous contractor's work without complaint. It has been working flawlessly since. We love how it is so quiet that you can't tell if it is running unless you see the red light on the floor. [This review was collected as part of a promotion.],100,"July 17, 2020"
The good and the bad (mostly good),"After a couple of month's use, here's where I'm at with it:

Pros
- Quiet. This was a factor in my purchase.
- Red LED light projected onto floor. If it weren't for the red LED spot on the floor, I often would not know it's running. 
- Seems to clean OK in the lower and middle racks.
- The feature to pop-open the door after the cycle is complete is nice. It was a selling feature since I've heard that Bosch dishwashers do not dry very well. 
- Adjustable dish and glass support tines and features. So far I fold most of these out of the way, but I know they are there if needed.
- Center rack height can be adjusted to three different heights. 
- Top silverware rack has adjustable tines and outer sections, and can be removed to fit taller items in the middle rack.
- The soap dispenser fits the Kirkland-brand detergent packets.
- Easy to DIY install. The instructions are good.

Cons
- Does not dry as well as my prior 17 year old washer. I think the feature that pops the door open helps. I was under the impression that these dishwashers use heat for drying, but there is no visible heating element in the bottom. Conversely, the fact that there is no heating element in the bottom probably means that plastics can be washed on the bottom rack. The only issue I've had with plastic in the bottom rack is that the jets are so strong that the plastic storage container flipped over.
- Spacing of the dish support tines is awkward. The plate tines are so close together that only plates and thin items can be used there. Thin baking pans (1"" deep sheet pans) do not fit. The tines in the space for larger items are not aligned on the left and right sides, even when the optional tines are folded down, meaning that you cannot fit quarter-sheet pans across some sections. At best I can get three to fit, spaced farther apart than necessary, yet not far enough to fit something else between.
- This model does not have the two-piece utensil basket. I think Bosch should include the two-piece utensil basket with all models (why inventory an extra item?), but especially with all models that have the flatware rack. I only ever need part of the utensil basket and the two-piece basket would allow me to reclaim some bottom-rack space for dishes.

Would I recommend this? Yes. However I suggest considering models with better drying, better tine arrangements, time-remaining display projected onto the floor, and the two-piece utensil basket.",80,"July 11, 2020"
Clean as a whistle,"My dishes have never,ever been cleaner ! I will always recommend Bosch dishwashers, definitely worth the money. [This review was collected as part of a promotion.]",100,"July 5, 2020"
Dry clean dishes everytime!,I spent a lot of time researching dishwashers and Bosch clearly came out #1 for reliability.  I selected this 800 series dishwasher for the AutoAir drying option and my dishes dry better than they did with my old KitchenAid with a heat coil.  I do live in northern Nevada so I live in a dry climate so maybe the drying problems noted in reviews were written by people who live in rally humid climates.  I was going to replace the long silverware basket with a smaller one but found that all our utensils fit in the flexible 3rd rack.  By removing the silverware basket it freed up space for more dishes which was needed since these European designs don’t seem to accommodate as many dishes as American designs. It’s a big plus being able to put plastic anywhere in the dishwasher. I turn my very quiet 42dBA dishwasher on every night before I go to bed and wake up to clean dry dishes. Plus it’s a great looking appliance.  I highly recommend buying the SHPM65Z55N/01.,100,"June 24, 2020"
Quietly Tackles the Dirty Dishes,"This is my first Bosch dishwasher.   I had several other brands in the past.   Wow, what a difference.  

First, I no longer have to ""pre-wash"" my dishes.   They go from the table right into the dishwasher.   I have yet to see any food that this dishwasher cannot handle.

Second, it is the quietest dishwasher I have ever owned.   If it did not have the red laser light projected on the floor, I would not know it was on.

Third, the rack adjustability, took a few minutes to figure out, but now it's so simple and easy to adjust the racks to tackle any size pan or dish.

Fourth, I did the install myself.   The directions were super easy to follow.  The dish washer comes with a standard plug, but you can also order a hard wiring kit if needed.  It took less than 45 minutes, start to finish.

I am glad I followed the other reviews and chose this Bosch Dishwasher.   I highly recommend it. [This review was collected as part of a promotion.]",100,"June 15, 2020"
Even happier with the 2nd one!,"We bought a Bosch dishwasher at our previous house several years ago, and when we moved into this house in 2014, I swore I'd get around to swapping out the old dishwasher with a new Bosch unit.  Finally got around to it last month and it's every bit as good as I remembered.  Super efficient, super quiet and does a great job. Very well-designed machine.  Well worth every penny! [This review was collected as part of a promotion.]",100,"May 30, 2020"
Great dishwasher,"Best dishwasher I have ever owned! It is so quiet you really need to have that little light shining on the floor so that you know it is running. What impressed me the most was that it cleans peanut butter off of knives without any rinsing at all!  The only reason I gave it four and not five stars is that if you use the uppermost, third tray for utensils and spatulas and such, you are not able to put stemmed wine glasses in the upper tray as there was not enough clearance  regardless I love how you adjust the rack.  Certainly not a deal-breaker and we are very pleased with the machine",80,"May 26, 2020"
Perfect Buy!,Remodeled the kitchen and bought a Bosch 500 dishwasher. Excellent choose!! It is so quiet that you can not tell it is even running. The dishes come out sparkling clean. Easy to load and to use the third rack is great. Bosch is the top brand I use in my kitchen. Excellent buy for the price. Well worth every dollar spent. [This review was collected as part of a promotion.],100,"May 25, 2020"
Excellent Dishwasher!,"I have used it now for a month and it is beyond my expectations. Excellent design and quality but the one thing that makes it extra special for me is how incredibly QUITE it is.  Love it,  Miriam S. [This review was collected as part of a promotion.]",100,"May 19, 2020"
My friends recommended this Bosch to me. I am so happy with it! Does a fantastic job and I can’...,My friends recommended this Bosch to me. I am so happy with it! Does a fantastic job and I can’t believe how quiet it is!,100,"May 12, 2020"
So quiet!,I love my new Bosch dishwasher! Dishes and glasses come out so sparkly clean and yet it's so quiet we don't even know it is running. [This review was collected as part of a promotion.],100,"May 8, 2020"
